@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute class {0,1}
@data
6.0,12.6973,11.8161,10.0,0
6.0,10.5673,28.2469,11.0,0
6.0,10.8224,112.072,8.0,0
5.0,10.3655,135.352,40.0,0
5.0,10.0255,149.262,6.0,0
7.0,10.7783,169.642,6.0,0
9.0,12.9871,373.11,1.0,0
9.0,0.0,402.686,40.0,0
11.0,13.4589,788.69,6.0,0
12.0,20.8542,1185.9,40.0,0
12.0,10.3673,426.962,1.0,0
7.0,13.6005,2.28468,2.0,0
12.0,13.5195,1488.09,1.0,0
12.0,10.1732,130.155,4.0,0
11.0,10.752,2.24444,4.0,0
12.0,10.0719,739.91,4.0,0
12.0,10.1499,5.11363,1.0,0
8.0,67.2222,815.718,14.0,1
8.0,42.4428,7.48571,1.0,0
5.0,0.0,32.5857,1.0,0
6.0,10.1251,7.73811,1.0,0
4.0,10.2646,13.478,5.0,0
5.0,10.2552,30.6663,5.0,0
11.0,17.5577,106.433,5.0,0
10.0,0.0,55.6024,1.0,0
7.0,10.4495,178.28,5.0,0
10.0,11.1235,243.241,2.0,0
10.0,13.1134,366.482,2.0,0
12.0,23.2084,13.2798,6.0,0
10.0,25.8705,2.99436,2.0,0
7.0,20.9236,7.92765,1.0,0
4.0,10.098,8.18073,6.0,0
9.0,20.215,32.0798,7.0,0
5.0,10.033,17.5981,7.0,0
5.0,10.1542,17.771,8.0,0
5.0,10.08,23.1013,8.0,0
5.0,11.7505,27.7248,6.0,0
6.0,15.831,30.6252,6.0,0
5.0,10.11,32.3745,2.0,0
12.0,10.4685,99.5638,6.0,0
7.0,11.1949,116.512,7.0,0
10.0,22.8572,170.057,6.0,0
12.0,14.8847,486.965,1.0,0
9.0,0.0,373.767,1.0,0
12.0,10.8727,561.739,2.0,0
12.0,11.2028,1022.84,2.0,0
11.0,10.003,1238.87,1.0,0
12.0,12.6093,1736.58,2.0,0
12.0,11.9501,2.96342,5.0,0
12.0,10.3083,8.56112,1.0,0
12.0,0.0,8.56112,1.0,0
12.0,13.1349,66.659,5.0,0
12.0,11.1112,99.6577,5.0,0
12.0,11.767,141.423,5.0,0
