@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {0,1}
@data
6.15136,12.0,18.0,1362.0,15.3577,5.0,8.0,8.0,11.0,13.0,24.0,27.0,51.0,60.0,68.0,0
3.01426,6.0,52.0,33.0,12.6519,1.0,5.0,9.0,13.0,13.0,14.0,29.0,54.0,59.0,67.0,0
10.3698,12.0,1.0,672.0,10.9781,2.0,5.0,8.0,12.0,14.0,14.0,30.0,54.0,59.0,67.0,0
12.5761,12.0,1.0,754.0,11.1502,3.0,6.0,11.0,13.0,13.0,23.0,27.0,54.0,59.0,68.0,0
84.6832,12.0,3.0,18.0,0.0,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
347.55,12.0,3.0,2058.0,10.827,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
467.389,12.0,3.0,3242.0,12.4599,5.0,5.0,8.0,10.0,13.0,24.0,26.0,51.0,60.0,68.0,0
1.74358,11.0,124.0,1749.0,12.044,2.0,4.0,5.0,8.0,14.0,14.0,37.0,54.0,57.0,67.0,0
0.13822,8.0,1.0,9.0,10.8568,1.0,1.0,1.0,1.0,6.0,17.0,36.0,53.0,57.0,64.0,0
2.34509,12.0,1.0,2310.0,10.995,1.0,1.0,3.0,5.0,18.0,23.0,40.0,53.0,54.0,64.0,0
821.525,12.0,1.0,2782.0,12.1181,1.0,1.0,2.0,3.0,14.0,23.0,42.0,53.0,54.0,64.0,0
821.525,12.0,1.0,446.0,0.0,2.0,4.0,5.0,8.0,14.0,14.0,37.0,54.0,57.0,67.0,0
0.0394922,6.0,2584.0,37.0,42.3798,3.0,5.0,15.0,18.0,26.0,28.0,29.0,42.0,54.0,63.0,0
9.36931,11.0,245.0,16091.0,19.5789,12.0,13.0,18.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
0.0197462,2.0,1.0,1.0,10.9149,3.0,5.0,14.0,17.0,26.0,28.0,29.0,42.0,54.0,63.0,0
0.0197462,4.0,1.0,1.0,11.3917,12.0,13.0,15.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
0.0197462,5.0,1.0,1.0,10.9412,2.0,3.0,5.0,18.0,22.0,27.0,34.0,52.0,54.0,63.0,0
0.0394922,4.0,1.0,1.0,10.7396,2.0,4.0,15.0,18.0,22.0,28.0,33.0,51.0,54.0,63.0,0
0.0394922,5.0,36.0,15.0,19.517,3.0,5.0,6.0,6.0,10.0,26.0,28.0,37.0,53.0,60.0,0
0.296194,6.0,2.0,1.0,10.2356,3.0,4.0,15.0,17.0,22.0,28.0,34.0,51.0,54.0,63.0,0
0.118475,4.0,4.0,1.0,10.3627,12.0,13.0,18.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
0.236951,5.0,4.0,1.0,10.2995,12.0,13.0,16.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
0.394946,3.0,1.0,1.0,10.4126,12.0,13.0,18.0,20.0,24.0,28.0,29.0,42.0,54.0,63.0,0
1.16662,4.0,11.0,1.0,10.4341,12.0,13.0,18.0,20.0,24.0,28.0,29.0,42.0,54.0,63.0,0
0.533239,4.0,1.0,1.0,10.0461,12.0,13.0,18.0,20.0,24.0,28.0,29.0,42.0,54.0,63.0,0
0.869417,5.0,1.0,1.0,10.087,12.0,13.0,18.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
0.948609,6.0,1.0,4.0,12.8652,3.0,3.0,6.0,6.0,10.0,25.0,28.0,37.0,53.0,60.0,0
1.2063,7.0,1.0,366.0,11.4945,3.0,4.0,6.0,7.0,15.0,26.0,28.0,42.0,53.0,60.0,0
1.26585,3.0,2.0,40.0,13.5184,3.0,5.0,14.0,17.0,26.0,28.0,29.0,42.0,54.0,63.0,0
1.26585,4.0,2.0,1.0,10.0963,6.0,16.0,16.0,20.0,24.0,28.0,29.0,42.0,54.0,63.0,0
1.78351,5.0,3.0,1.0,10.2507,12.0,13.0,18.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
2.12388,12.0,2.0,3302.0,12.5818,3.0,4.0,6.0,7.0,15.0,26.0,28.0,42.0,53.0,60.0,0
2.26455,6.0,2.0,1.0,10.1298,13.0,13.0,18.0,20.0,22.0,28.0,29.0,42.0,54.0,63.0,0
2.32495,7.0,1.0,1340.0,11.5753,3.0,3.0,6.0,7.0,15.0,26.0,28.0,42.0,53.0,60.0,0
7.75402,6.0,2.0,11.0,10.2691,13.0,13.0,18.0,20.0,24.0,28.0,29.0,42.0,54.0,63.0,0
14.7597,10.0,35.0,646.0,12.151,1.0,4.0,4.0,20.0,26.0,28.0,29.0,42.0,54.0,60.0,0
17.4994,9.0,1.0,30.0,10.2102,3.0,3.0,6.0,6.0,10.0,25.0,28.0,37.0,53.0,60.0,0
277.919,12.0,9.0,2888.0,12.1218,9.0,15.0,16.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
834.743,10.0,1737.0,1896.0,160.104,2.0,3.0,3.0,3.0,4.0,4.0,7.0,8.0,10.0,29.0,1
0.0197462,5.0,2.0,1.0,10.5626,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,8.0,10.0,0
0.0394922,6.0,1.0,1.0,10.0287,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,8.0,10.0,0
0.059238,5.0,1.0,1.0,10.1607,1.0,1.0,1.0,1.0,1.0,4.0,6.0,7.0,9.0,11.0,0
11.9024,12.0,1.0,4702.0,12.4444,1.0,1.0,1.0,1.0,3.0,4.0,6.0,8.0,9.0,12.0,0
0.157966,7.0,7.0,10.0,11.047,2.0,2.0,2.0,2.0,3.0,3.0,5.0,8.0,10.0,12.0,0
0.0394922,8.0,1.0,64.0,11.0139,2.0,2.0,2.0,2.0,3.0,3.0,5.0,8.0,10.0,12.0,0
2.48631,12.0,2.0,1152.0,10.6981,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,11.0,15.0,0
10.3698,12.0,1.0,2620.0,11.6833,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,10.0,12.0,0
4.79021,12.0,1.0,132.0,10.5618,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,10.0,16.0,0
6.4001,12.0,1.0,5594.0,12.1149,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9.0,18.0,0
1.36517,12.0,1.0,1368.0,11.0926,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,8.0,19.0,0
2.72927,12.0,1.0,112.0,10.0729,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,8.0,19.0,0
0.177712,12.0,1.0,1732.0,10.9351,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,12.0,16.0,0
3.96445,12.0,1.0,588.0,11.0307,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,11.0,17.0,0
4.74734,12.0,1.0,888.0,11.0148,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,11.0,17.0,0
10.8049,12.0,1.0,428.0,10.8537,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,11.0,24.0,0
4.91916,12.0,1.0,1004.0,10.7589,2.0,2.0,2.0,2.0,2.0,2.0,6.0,9.0,11.0,23.0,0
874.133,12.0,1.0,372.0,10.4214,2.0,2.0,2.0,2.0,2.0,2.0,6.0,9.0,11.0,23.0,0
5.13532,12.0,1.0,18.0,10.0584,2.0,2.0,3.0,3.0,3.0,3.0,6.0,8.0,12.0,22.0,0
7.82614,12.0,1.0,934.0,10.353,1.0,1.0,3.0,3.0,3.0,3.0,6.0,8.0,12.0,22.0,0
28.4628,12.0,1.0,96.0,10.0756,2.0,2.0,3.0,3.0,3.0,3.0,6.0,8.0,12.0,22.0,0
1.66377,11.0,1.0,1480.0,10.3155,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,17.0,21.0,0
0.157966,12.0,1.0,1400.0,11.304,1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,16.0,20.0,0
653.526,11.0,1.0,1919.0,11.5628,1.0,6.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
763.911,9.0,687.0,1287.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,11.0,14.0,19.0,0
815.718,6.0,1.0,2.0,10.57,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
822.984,5.0,1.0,1.0,10.0799,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
854.211,2.0,1.0,1.0,10.1266,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
858.768,2.0,1.0,56.0,11.9606,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,0
886.624,3.0,1.0,1.0,10.0503,7.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,0
894.52,4.0,2.0,53.0,11.3115,7.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,0
0.829836,11.0,2.0,8701.0,14.693,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,12.0,0
16.847,12.0,1.0,2408.0,10.8973,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,12.0,0
9.31787,12.0,1.0,340.0,10.5369,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,12.0,0
1997.43,12.0,1.0,2460.0,14.3348,2.0,2.0,2.0,2.0,4.0,5.0,7.0,8.0,12.0,16.0,0
0.513479,12.0,1.0,3208.0,11.8757,1.0,2.0,2.0,2.0,2.0,5.0,8.0,9.0,9.0,24.0,0
5.20048,12.0,1.0,5942.0,11.9269,3.0,3.0,3.0,3.0,5.0,7.0,7.0,8.0,12.0,21.0,0
5.20048,12.0,1.0,26.0,0.0,2.0,2.0,2.0,2.0,4.0,5.0,7.0,8.0,12.0,16.0,0
80.8342,12.0,33.0,3878.0,13.6525,3.0,3.0,3.0,3.0,3.0,7.0,7.0,8.0,12.0,22.0,0
158.563,12.0,1.0,2994.0,11.3588,3.0,3.0,3.0,3.0,5.0,7.0,7.0,8.0,12.0,22.0,0
0.355443,9.0,8.0,1131.0,11.6396,1.0,2.0,2.0,2.0,2.0,5.0,8.0,9.0,9.0,24.0,0
11.4173,12.0,1.0,2344.0,10.6678,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,11.0,24.0,0
123.167,12.0,1.0,946.0,10.3031,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,19.0,33.0,0
720.486,12.0,1.0,408.0,10.5357,1.0,1.0,1.0,1.0,1.0,2.0,7.0,13.0,14.0,33.0,0
